Symbol,Name,Market Cap,Country,Sector,Industry
A,Agilent Technologies Inc. Common Stock,38237618249.00,United States,Industrials,Electrical Products
AA,Alcoa Corporation Common Stock ,8861153378.00,,Industrials,Metal Fabrications
AAC,Ares Acquisition Corporation Class A Ordinary Shares,1237500000.00,,Finance,Business Services
AACG,ATA Creativity Global American Depositary Shares,69200908.00,China,Consumer Discretionary,Service to the Health Industry
AACI,Armada Acquisition Corp. I Common Stock,204816955.00,United States,Industrials,Consumer Electronics/Appliances
AACIU,Armada Acquisition Corp. I Unit,0.00,United States,Industrials,Consumer Electronics/Appliances
AACIW,Armada Acquisition Corp. I Warrant,0.00,United States,Industrials,Consumer Electronics/Appliances
AADI,Aadi Bioscience Inc. Common Stock,281878957.00,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AAIC,Arlington Asset Investment Corp Class A (new),95216664.00,United States,Real Estate,Real Estate Investment Trusts
AAIC^B,Arlington Asset Investment Corp 7.00%,,United States,,
AAIC^C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,,United States,,
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,0.00,United States,,
AAL,American Airlines Group Inc. Common Stock,8441498592.00,United States,Consumer Discretionary,Air Freight/Delivery Services
AAM^A,Apollo Asset Management Inc. 6.375% Series A Preferred Stock,,United States,,
AAM^B,Apollo Asset Management Inc. 6.375% Series B Preferred Stock,,United States,,
AAMC,Altisource Asset Management Corp Com,41022079.00,United States,Finance,Investment Managers
AAME,Atlantic American Corporation Common Stock,60598621.00,United States,Finance,Life Insurance
AAN,Aarons Holdings Company Inc. Common Stock ,364513480.00,,Consumer Discretionary,Diversified Commercial Services
AAOI,Applied Optoelectronics Inc. Common Stock,62729366.00,United States,Technology,Semiconductors
AAON,AAON Inc. Common Stock,3025587858.00,United States,Industrials,Industrial Machinery/Components
AAP,Advance Auto Parts Inc.,10413677147.00,United States,Consumer Discretionary,Auto & Home Supply Stores
AAPL,Apple Inc. Common Stock,2701330945400.00,United States,Technology,Computer Manufacturing
AAQC,Accelerate Acquisition Corp. Class A Common Stock,490500000.00,,Industrials,Consumer Electronics/Appliances
AAT,American Assets Trust Inc. Common Stock,1658909199.00,United States,Real Estate,Real Estate Investment Trusts
AATC,Autoscope Technologies Corporation Common Stock,27145603.00,United States,Industrials,Industrial Machinery/Components
AAU,Almaden Minerals Ltd. Common Shares,31492313.00,Canada,,
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,2817910285.00,United States,Consumer Discretionary,Transportation Services
AB,AllianceBernstein Holding L.P.  Units,4281566437.00,United States,Finance,Investment Managers
ABB,ABB Ltd Common Stock,52369843705.00,Switzerland,Energy,Electrical Products
ABBV,AbbVie Inc. Common Stock,240821762111.00,United States,Health Care,Other Pharmaceuticals
ABC,AmerisourceBergen Corporation Common Stock,30939934826.00,United States,Health Care,Other Pharmaceuticals
ABCB,Ameris Bancorp Common Stock,3198211981.00,United States,Finance,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,3084372538.00,Canada,,
ABCM,Abcam plc American Depositary Shares,3246760058.00,United Kingdom,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABEO,Abeona Therapeutics Inc. Common Stock,20969238.00,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),46116252195.00,,Consumer Staples,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc Common Stock,3786665430.00,United States,Consumer Discretionary,Other Specialty Stores
ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,191392245.00,United States,Finance,Business Services
ABIO,ARCA biopharma Inc. Common Stock,33863836.00,United States,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABM,ABM Industries Incorporated Common Stock,3003462296.00,United States,Consumer Discretionary,Diversified Commercial Services
ABMD,ABIOMED Inc. Common Stock,11919281118.00,United States,Health Care,Medical/Dental Instruments
ABNB,Airbnb Inc. Class A Common Stock,67774783155.00,United States,Consumer Discretionary,Hotels/Resorts
ABOS,Acumen Pharmaceuticals Inc. Common Stock,233692259.00,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ABR,Arbor Realty Trust Common Stock,2329342285.00,United States,Real Estate,Real Estate Investment Trusts
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,,United States,,
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,,United States,,
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,,United States,,
ABSI,Absci Corporation Common Stock,314768388.00,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ABST,Absolute Software Corporation Common Stock,554786669.00,Canada,,
ABT,Abbott Laboratories Common Stock,179471584623.00,United States,Health Care,Medical/Dental Instruments
ABTX,Allegiance Bancshares Inc. Common Stock,858934976.00,United States,Finance,Major Banks
ABUS,Arbutus Biopharma Corporation Common Stock,328689404.00,Canada,,
ABVC,ABVC BioPharma Inc. Common Stock,32953476.00,United States,Health Care,Biotechnology: Pharmaceutical Preparations
